Skill,Type
Python,Technical
R,Technical
SAS,Technical
SPSS,Technical
Java,Technical
C,Technical
C++,Technical
Probability,Technical
Linear Algebra,Technical
Statistics,Technical
Calculus,Technical
Maths,Technical
Mathematics,Technical
Matrix,Technical
Matrices,Technical
Geometry,Technical
Team work,Soft
Open Mind,Soft
Research,Soft
Collaboration,Soft
collaborative,Soft
Adaptability,Soft
Curiosity,Soft
Curious,Soft
Experimenting,Soft
Story telling,Soft
Story teller,Soft
Visualization,Soft
SQL,Technical
Hadoop,Technical
Data Mining,Technical
"Machine Learning,",Technical
Graph Models,Technical
Bayesian Statistics,Technical
MySQL,Technical
Hive,Technical
Algorithmic Thinking,Soft
MatLab,Technical
Business Intelligence,Soft
